job_id,sort_order,city,district
e0f10e1e6f925bf1,0,Hà Nội,
7646d51ce094647d,0,Hồ Chí Minh,
3586951aa9a7d77e,0,Toàn Quốc,
9a513f3a93e69c78,0,Hà Nội,Cầu Giấy
2457b16cb19b3294,0,Hà Nội,Thanh Xuân
2457b16cb19b3294,1,Hải Dương,TP Hải Dương
2e9f549bb58214e8,0,Hà Nội,Nam Từ Liêm
806bc193bd071116,0,Hồ Chí Minh,Quận 7
b526c93f75e6eb99,0,Hà Nội,Cầu Giấy
0da5c2823cbe5cd9,0,Hà Nội,Cầu Giấy
06f3e60ff3dc183c,0,Hà Nội,Cầu Giấy
77e7076146bce0cc,0,Hà Nội,Cầu Giấy
24324604aebddb19,0,Hà Nội,
ef5c045ef13af4ea,0,Hà Nội,Cầu Giấy
0976095710f5fd35,0,Hà Nội,
abb0fd8261e2441e,0,Hà Nội,Nam Từ Liêm
f5a09c81b64e5390,0,Hồ Chí Minh,Tân Bình
55779c0b236f8ba8,0,Hồ Chí Minh,Quận 10
62ba14c5b8157f65,0,Hồ Chí Minh,
70c5d41a9a0a7985,0,Hồ Chí Minh,Quận 2
330e76a07e3cb951,0,Hồ Chí Minh,Thủ Đức
44d616fe22d0b3ef,0,Hà Nội,
eb21bd9d7069e045,0,Hà Nội,Cầu Giấy
1a6fc88a1d741c4c,0,Hà Nội,Cầu Giấy
676a1d02726cf737,0,Hà Nội,Đống Đa
6d460c224c59d4f3,0,Hà Nội,
d81ce9883420bb12,0,Hà Nội,
8ac6dc2750cb7101,0,Hồ Chí Minh,Tân Bình
decdace130e4bcc7,0,Hồ Chí Minh,Tân Bình
1d4e62a096da7142,0,Hồ Chí Minh,Tân Bình
1d4e62a096da7142,1,Hà Nội,Ba Đình
3882143038053111,0,Hồ Chí Minh,Tân Bình
3882143038053111,1,Hà Nội,Ba Đình
266d6839caeba6dc,0,Hà Nội,Ba Đình
26306b02c5b8bc9a,0,Hà Nội,Ba Đình
26306b02c5b8bc9a,1,Hồ Chí Minh,Tân Bình
44e37f2b1ec3bbcd,0,Hà Nội,Hồ Chí Minh
b2f2a55515505cc6,0,Đà Nẵng,Hải Châu
c642c8c476a3331c,0,Hà Nội,Cầu Giấy
a738cf75f6481473,0,Hà Nội,
2209b574eb175dbc,0,Hồ Chí Minh,Bình Thạnh
138858789228250e,0,Hồ Chí Minh,Bình Thạnh
4dcc33e7226d6bf8,0,Hà Nội,Hoàn Kiếm
cd3b18bb29b2c0c5,0,Hồ Chí Minh,Bình Thạnh
ee8aaccd1ce7be57,0,Hồ Chí Minh,Bình Thạnh
304bee421cab0974,0,Hà Nội,Hoàn Kiếm
5fa59b31a0f29b7f,0,Hồ Chí Minh,Tân Bình
97a7d12f966b9365,0,Hà Nội,Cầu Giấy
683e45e3637355e3,0,Hà Nội,Nam Từ Liêm
4855812611c4e00c,0,Hà Nội,Nam Từ Liêm
29979144c7bfd951,0,Hồ Chí Minh,Quận 10
076c83b3ebb65762,0,Nghệ An,TP Vinh
b89518837072319f,0,Hồ Chí Minh,Quận 10
4feeac908cf369c0,0,Hà Nội,Thanh Xuân
4feeac908cf369c0,1,Hồ Chí Minh,Quận 7
4feeac908cf369c0,2,Hải Dương,TP Hải Dương
83275e8d3870bb38,0,Hà Nội,Thanh Xuân
86046198dfb5afc7,0,Hồ Chí Minh,
488b1189824a1f31,0,Hà Nội,
6a4db1bacfff55cf,0,Hà Nội,Hai Bà Trưng
cea70fbaa5087346,0,Hà Nội,Long Biên
705112a8b7e8ff06,0,Hồ Chí Minh,Quận 4
5998faf776877a1d,0,Hà Nội,Nam Từ Liêm
dc098e12459f99c5,0,Hà Nội,Cầu Giấy
c9272840b1262fd3,0,Hà Nội,Nam Từ Liêm
a02b54d82cc75e27,0,Hà Nội,Hai Bà Trưng
5911d79c9298f540,0,Hà Nội,Cầu Giấy
057cb1957d8eb35b,0,Hà Nội,Cầu Giấy
50e4ef9afca10a37,0,Hà Nội,Nam Từ Liêm
c4574e205b03b7ee,0,Hà Nội,Cầu Giấy
5827cac3a559af55,0,Hà Nội,
26bad5d9a8f7f796,0,Hà Nội,Nam Từ Liêm
257d6b46b501145f,0,Hà Nội,Cầu Giấy
7e9dbe6900b33021,0,Hồ Chí Minh,Quận 3
eb73b897fc46ebf3,0,Hồ Chí Minh,Quận 12
41e212eec7ff135b,0,Hồ Chí Minh,Thủ Đức
7152d02b881fea14,0,Hà Nội,Cầu Giấy
